GMT 201: Crystallography ,Wait For Update
GMT 202: Principles of Stratigraphy ,Wait For Update
GMT 203: Principles of Sedimentary Petrology ,Wait For Update
GMT 204: Descriptive Sedimentary Petrology ,Wait For Update
GMT 205: Programming for Geoscientists  ,Wait For Update
GMT 206: Hydrology ,Wait For Update
GMT 207: Optical Mineralogy ,Wait For Update
GMT 208: Geophysical Methods : Gravity & Magnetic ,Wait For Update
CHR 209: Environmental Chemistry,Wait For Update
MTR 210: Calculus II ,Wait For Update
PHR 211: Physics II ,Wait For Update
PHR 212:  Physics III ,Wait For Update
GML 213: Crystallography and Stratigraphy Lab ,Wait For Update
GML 214: Hydrology and Computer Lab ,Wait For Update
GML 215: Optical Mineralogy Lab ,Wait For Update
GML 216: Sedimentary Petrology Lab ,Wait For Update
PHL 217: Physics Lab,Wait For Update
GMF 218: Field Geology 2,Wait For Update
GMV 219: Viva voce ,Wait For Update
