GMT 301: Igneous and Metamorphic Petrology ,Coming Soon
GMT 302: Sedimentology   ,Coming Soon
GMT 303: Structural Geology ,Coming Soon
GMT 304: Economic Geology ,Coming Soon
GMT 305: Geology of Bangladesh ,Coming Soon
GMT 306: Regional Geology ,Coming Soon
GMT 307: Geophysical Methods: Electrical & Seismic ,Coming Soon
GMT 308: Tectonics  ,Coming Soon
GMT 309: Geostatistics ,Coming Soon
GMT 310: Geochemistry  ,Coming Soon
GMT 311: Oceanography and Coastal Geology ,Coming Soon
GMT 312: Principles of Petroleum Geology ,Coming Soon
GMT 313: Paleontology and Palynology ,Coming Soon
GML 314: Igneous and Metamorphic Petrology Lab ,Coming Soon
GML 315: Structural Geology Lab ,Coming Soon
GML 316: Paleontology and Palynology Lab ,Coming Soon
GML 317: Geological Map Lab 2 ,Coming Soon
GMF 318: Field Geology 3 ,Coming Soon
GMV 319: Viva Voce ,Coming Soon
