GMT 401: Energy Resources of Bangladesh and Subcontinent ,Coming Soon 
GMT 402: Environmental Geology ,Coming Soon 
GMT 403: Quaternary Geology ,Coming Soon 
GMT 404: Principles of Hydrogeology  ,Coming Soon 
GMT 405: Applied Hydrogeology Petroleum Geology ,Coming Soon 
GMT 406: Applied Petroleum Geology  ,Coming Soon 
GMT 407: Engineering Geology,Coming Soon 
GMT 408: Exploration Geophysics,Coming Soon 
GMT 409: Seismology and Geohazards ,Coming Soon 
GMT 410: Introductory GIS ,Coming Soon 
GMT 411: Remote Sensing ,Coming Soon 
GMT 412: Mining Geology ,Coming Soon 
GMT 413: Research Methodology  2 ,Coming Soon 
GMT 414: Bangladesh Studies  2 ,Coming Soon 
GML 415: Hydrogeology Lab  2 ,Coming Soon 
GML 416: Subsurface and Petroleum Geology Lab  2 ,Coming Soon 
GML 417: Geophysics and Engineering Geology Lab  2 ,Coming Soon 
GML 418: Remote Sensing and GIS Lab  2 ,Coming Soon 
GMF 419: Field Geology IV  2 ,Coming Soon 
GMV 420: Viva Voce ,Coming Soon 
